[13/Jun/2025:15:02:12 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=32" [Client 10.0.0.33] [Length 935] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:02:14 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=33" [Client 10.0.0.33] [Length 933] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:02:16 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=34" [Client 10.0.0.33] [Length 861] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:02:18 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=35" [Client 10.0.0.33] [Length 560] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:02:20 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=36" [Client 10.0.0.33] [Length 554] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:02:22 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=37" [Client 10.0.0.33] [Length 574] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:02:24 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=38" [Client 10.0.0.33] [Length 581] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:02:26 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=39" [Client 10.0.0.33] [Length 899] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:02:28 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=40" [Client 10.0.0.33] [Length 856] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:02:30 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=41" [Client 10.0.0.33] [Length 582] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:02:32 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=42" [Client 10.0.0.33] [Length 565] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
